Statement,Link,Date,Source
"Paul Manafort, Donald Trump’s top adviser, and his ties to pro-Russian politicians in Ukraine",https://www.politifact.com/article/2016/may/02/paul-manafort-donald-trumps-top-adviser-and-his-ti/,"enko • May 2, 2016","By Aleksandra Kharchenko • May 2, 2016"
"Fact-checking claims about MH 17, Russia and Ukraine",https://www.politifact.com/article/2014/jul/23/fact-checking-claims-about-mh-17-russia-and-ukrain/,"ll • July 23, 2014","By Lauren Carroll • July 23, 2014"
"Fact-checking claims about Russia, Ukraine and MH 17",https://www.politifact.com/article/2014/jul/23/fact-checking-claims-about-russia-and-ukraine/,"ll • July 23, 2014","By Lauren Carroll • July 23, 2014"
"March 30 shows take on NSA reforms, Obamacare and Ukraine",https://www.politifact.com/article/2014/mar/28/nsa-reforms-obamacare-and-ukraine/,"g • March 28, 2014","By Jon Greenberg • March 28, 2014"
A guide to the developments in Ukraine,https://www.politifact.com/article/2014/mar/19/guide-developments-ukraine/,"n • March 19, 2014","By Aaron Sharockman • March 19, 2014"
"March 16 shows to talk latest news on Ukraine, missing Malaysian plane",https://www.politifact.com/article/2014/mar/14/march-16-shows-talk-latest-news-ukraine-missing-ma/,"s • March 14, 2014","By Katie Sanders • March 14, 2014"
"Ukraine, CPAC focus of March 9 Sunday shows",https://www.politifact.com/article/2014/mar/07/ukraine-cpac-dominate-sunday-shows/,"rs • March 7, 2014","By Katie Sanders • March 7, 2014"
A fact-checker’s guide to the events in Ukraine,https://www.politifact.com/article/2014/mar/05/fact-checkers-guide-events-ukraine/,"an • March 5, 2014","By Aaron Sharockman • March 5, 2014"
A fact-checker’s guide to the crisis in Ukraine,https://www.politifact.com/article/2014/mar/05/fact-checkers-guide-crisis-ukraine/,"an • March 5, 2014","By Aaron Sharockman • March 5, 2014"
Ukraine the talk of the Sunday news shows,https://www.politifact.com/article/2014/mar/02/ukraine-talk-sunday-news-shows/,"an • March 2, 2014","By Aaron Sharockman • March 2, 2014"
Has Russia vetoed even simple U.N. press releases about Syria?,https://www.politifact.com/article/2013/sep/13/russia-vetoed-syria-united-nations-press-releases/,"September 13, 2013","By Becky Bowers • September 13, 2013"
